"name","M12D1","M12D10","M12D11","M12D12","M12D13","M12D14","M12D15","M12D16","M12D17","M12D18","M12D19","M12D2","M12D20","M12D21","M12D22","M12D23","M12D24","M12D25","M12D26","M12D27","M12D28","M12D29","M12D3","M12D30","M12D31","M12D4","M12D5","M12D6","M12D7","M12D8","M12D9","M1D1","M1D10","M1D11","M1D12","M1D13","M1D14","M1D15","M1D16","M1D17","M1D18","M1D19","M1D2","M1D20","M1D21","M1D22","M1D23","M1D24","M1D25","M1D26","M1D27","M1D28","M1D29","M1D3","M1D30","M1D31","M1D4","M1D5","M1D6","M1D7","M1D8","M1D9","M2D1","M2D10","M2D11","M2D12","M2D13","M2D14","M2D15","M2D16","M2D17","M2D18","M2D19","M2D2","M2D20","M2D21","M2D22","M2D23","M2D24","M2D25","M2D26","M2D27","M2D28","M2D29","M2D3","M2D4","M2D5","M2D6","M2D7","M2D8","M2D9","M3D1","lat","lon"
"가남읍",40.8695652173913,66.375,92.7727272727273,57.4166666666667,47.9166666666667,19.3333333333333,18.4782608695652,20.1666666666667,30.375,29.5,20.5833333333333,31.2941176470588,29.5833333333333,45.5833333333333,64.0416666666667,82.625,48.2916666666667,18.2916666666667,39.7916666666667,75.6666666666667,74.0833333333333,61.9166666666667,33.9545454545455,13.8333333333333,16.625,34.25,52.4583333333333,66.2083333333333,57.6666666666667,36.75,53.375,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.201739,127.545135
"가평",16.304347826087,36.75,61.6470588235294,41.2083333333333,31,8.5,9.125,10.2083333333333,17.2916666666667,22.1666666666667,14.7916666666667,13.6086956521739,14,25.5416666666667,45.5833333333333,59.4166666666667,41.7916666666667,13.625,27.9166666666667,37.6666666666667,36.7083333333333,45.0833333333333,14.5,15.5454545454545,9.58333333333333,18.625,22,36,35.9583333333333,11.875,19.0833333333333,17,37.4583333333333,42.5,35.9583333333333,16.625,17.5833333333333,17.625,19.0416666666667,21.1304347826087,29.7916666666667,39.7916666666667,32.2083333333333,32.7083333333333,16.9285714285714,NA,36.6,32.5416666666667,17.9583333333333,12.0416666666667,4.08333333333333,4.04166666666667,7.16666666666667,36.8333333333333,7.95833333333333,14.0833333333333,30.4583333333333,27.9583333333333,27,16.8181818181818,33.5,33.8333333333333,45.5416666666667,25.875,25.9166666666667,35,33.2916666666667,49.2916666666667,38.6666666666667,17,17.8333333333333,15.5833333333333,17.1666666666667,44.5,32.9583333333333,48.2916666666667,31.8333333333333,11.7916666666667,17.9047619047619,8.95833333333333,5.58333333333333,3.54166666666667,13.6666666666667,13.9583333333333,13.2916666666667,16.5416666666667,7.375,13.0416666666667,21.4782608695652,25.125,23.2083333333333,9,37.831217,127.509769
"강남구",19.1304347826087,42.7916666666667,80.5833333333333,36.9166666666667,26.625,11.4166666666667,10.2083333333333,12.25,18.0416666666667,23.875,13.4166666666667,17.25,16.1666666666667,28.7083333333333,38.9090909090909,53.1666666666667,41.6666666666667,15.3333333333333,30.625,45.0833333333333,45.7083333333333,49.7916666666667,14.5,14.2916666666667,11.5833333333333,17.2083333333333,22.3333333333333,29.625,35.8333333333333,12.95,23.9166666666667,22.3333333333333,47.125,39.2916666666667,34,16.4583333333333,19.7916666666667,22.5833333333333,28.75,36.2173913043478,39.375,41.0833333333333,42.4583333333333,27.7083333333333,23.5416666666667,28.7083333333333,37.9166666666667,46.7083333333333,33.1666666666667,16.875,4.33333333333333,5.25,7.625,45.75,9.41666666666667,17.375,39.4583333333333,34.1739130434783,27.5416666666667,3.65217391304348,17.05,39.4166666666667,46.7916666666667,28.7916666666667,32.2916666666667,31.375,47.0833333333333,56.1904761904762,43.875,18.2083333333333,17.1666666666667,13.7083333333333,22.0833333333333,52.7916666666667,39.5833333333333,42,31.9166666666667,10.25,16.9166666666667,10.4166666666667,8.54166666666667,5.39130434782609,15.8181818181818,16.2083333333333,15.75,15.7083333333333,10.9565217391304,18.5416666666667,21.625,27.4166666666667,23.125,19,37.5175623,127.0472893
"강남대로",19.5454545454545,44.7083333333333,80.75,36.5833333333333,25.3333333333333,10,8.08333333333333,9.79166666666667,15.4782608695652,21.9166666666667,11.2083333333333,17.0833333333333,14.5,28.3181818181818,39.9166666666667,52.9583333333333,39.5,11.9565217391304,33.625,45.5,45.2916666666667,49.7083333333333,12.9583333333333,9.70833333333333,8.625,17.4347826086957,22.8260869565217,28.0833333333333,39.625,12.6666666666667,22.9166666666667,18.6666666666667,41.1666666666667,36.7916666666667,28.625,12.4090909090909,17,18.0833333333333,25.2608695652174,30.7083333333333,34.375,43.5416666666667,40.25,28.4166666666667,22.7916666666667,28.875,36.5,46.875,34.2916666666667,18.375,3,3.45833333333333,6.45833333333333,47.5,8.875,18.1739130434783,34.8333333333333,30.5416666666667,28.0454545454545,4.04347826086957,17.695652173913,33.7916666666667,47.5,27.1666666666667,28.1363636363636,32.2083333333333,49.5416666666667,59.4166666666667,48.2083333333333,16,13.9583333333333,10.9166666666667,21.1304347826087,48.4166666666667,43.2083333333333,40.9545454545455,34.5,8.04166666666667,17.625,11.0416666666667,7.83333333333333,5.58333333333333,18.4166666666667,17,12.875,12.0833333333333,7.45833333333333,15.3478260869565,21.375,24.0416666666667,19.9583333333333,18,37.482867,127.035621
"강동구",21.6521739130435,45.7916666666667,80.7083333333333,46.8333333333333,30,13.0833333333333,11.75,15.1666666666667,22.8333333333333,27.5416666666667,15,23.7727272727273,19.625,33.1666666666667,45.4166666666667,64.15,47.4166666666667,16.9166666666667,37.625,50.75,53.25,49.125,18.5416666666667,16.9583333333333,14.5833333333333,22.25,27.2916666666667,36.7916666666667,42.2083333333333,17.7083333333333,28.2083333333333,27,57.1666666666667,46.9166666666667,42.25,21.9583333333333,25.5833333333333,28.0833333333333,34.5416666666667,40.9583333333333,47.75,49.5833333333333,49.1666666666667,38.6666666666667,25.4166666666667,32.6666666666667,44.0833333333333,54.4166666666667,37.0833333333333,20.8333333333333,5.875,6.75,8.66666666666667,56.4583333333333,11.4285714285714,21.875,47.125,41.7083333333333,32.6666666666667,5.95652173913043,21.75,46.7916666666667,61.5833333333333,38.4166666666667,40.2916666666667,37.2916666666667,59.0416666666667,69.7083333333333,52.0833333333333,22.75,22.6666666666667,18.3333333333333,28.2083333333333,70.6666666666667,47.6666666666667,54.1666666666667,30,14.7916666666667,22.5833333333333,13.0833333333333,11.75,7.70833333333333,19.2083333333333,18.3333333333333,20.125,21.625,13.9166666666667,25.8333333333333,31.1428571428571,33.4583333333333,31.6666666666667,22,37.545089,127.136806
"강변북로",21.5652173913043,49.0869565217391,82.75,36.375,28.5,13.2083333333333,10.8333333333333,13.4583333333333,21.2083333333333,25.6666666666667,14.2916666666667,17.6521739130435,17.125,31.125,42.125,56.7916666666667,42.5416666666667,15.9583333333333,32.9166666666667,47.5833333333333,49.304347826087,49,14.9583333333333,16.4166666666667,16.5416666666667,19.0416666666667,25.625,36.5833333333333,39.625,14.7916666666667,26.25,25.125,45.125,38.25,31.0416666666667,16,19,21.7916666666667,25.6666666666667,32.4583333333333,35.2083333333333,40.5416666666667,44.5833333333333,26.75,21.25,27.0833333333333,37.25,46.7916666666667,34.5416666666667,16,3.125,3.25,6.20833333333333,45.8333333333333,7.41666666666667,16.125,39.2916666666667,34.5652173913044,26.2916666666667,6.19047619047619,18.3913043478261,35.5,45.9166666666667,29.25,32.3333333333333,33.2272727272727,52.875,59.9583333333333,45.25,16.5,15.3333333333333,12.875,22.3333333333333,50.6666666666667,43,45.5416666666667,34.5,7.66666666666667,18.3333333333333,11.3333333333333,7.95833333333333,5,17.2083333333333,15.9583333333333,12.9583333333333,13.7916666666667,9.16666666666667,18.2083333333333,21.25,25.7916666666667,21.5416666666667,20,37.539283,127.040943
"강북구",18.3478260869565,42.7916666666667,69.375,35.2916666666667,23.0833333333333,11.2857142857143,10.4166666666667,12.8333333333333,17.5,22.9166666666667,13.5416666666667,19,16.4166666666667,26,35.4583333333333,49,41.25,17.2083333333333,32.8333333333333,41.2083333333333,39.2916666666667,42.5416666666667,15.1904761904762,15.375,12.375,19.25,20.9583333333333,30.6666666666667,38.125,13.6666666666667,20.25,25.75,50.5833333333333,39.9583333333333,39.2916666666667,19.625,21.375,26,29.1666666666667,35.9166666666667,40.625,45.875,42.8333333333333,30.952380952381,28.375,29.2083333333333,43.5,52.0416666666667,39.875,17.625,6,7.125,9.75,44.875,10.875,20.75,39.125,39.7083333333333,27.2916666666667,7.31818181818182,17.375,43.1666666666667,54.9583333333333,33.375,36.25,31.5,43.9583333333333,65.0833333333333,48.4166666666667,18.9583333333333,20.4545454545455,16.9583333333333,22.1666666666667,57.75,49.125,51.7083333333333,39.0833333333333,14.4583333333333,19.0833333333333,12.8333333333333,8.70833333333333,7.76190476190476,17.4166666666667,16.375,19.1666666666667,16.9545454545455,13.125,23.25,27.75,31.1666666666667,27.375,17,37.64793,127.011952
"강서구",18.8695652173913,42.4583333333333,72.875,33.625,22.875,10.3333333333333,9,12.5,14.7083333333333,20,11.6666666666667,17.375,14.0416666666667,27.25,34.4583333333333,45.5,37.9583333333333,14.75,30.0416666666667,37.375,39.9583333333333,48.625,14.5909090909091,11.9583333333333,10.1666666666667,18.0416666666667,21.3333333333333,30.2916666666667,38.5,14.125,22.8333333333333,22.2083333333333,47.9166666666667,39.3333333333333,30.8333333333333,15.75,20.0416666666667,25.9166666666667,26.9583333333333,36.0833333333333,39.625,43.5,38.4166666666667,29.5833333333333,27.7083333333333,25.5416666666667,37.2916666666667,47.1666666666667,35.5,24.125,5.625,6.45833333333333,9.95833333333333,47.875,14.3913043478261,26.1666666666667,38.375,35.9166666666667,28.0833333333333,7.16666666666667,18.7826086956522,38.2916666666667,47.875,28.875,34.5833333333333,34.0416666666667,50.0833333333333,54.75,49.875,19,17.7916666666667,14.125,22.4583333333333,52.5833333333333,38.2727272727273,39.5833333333333,40.2083333333333,11.0454545454545,16.25,14,10.125,8.54166666666667,19.875,18.25,16.125,15.625,11.2083333333333,18.7142857142857,23.25,28.5,23.25,25,37.544656,126.835094
"경수대로(동수원)",18.695652173913,47.2916666666667,77.6521739130435,36.125,25.25,9.75,7.625,10.2173913043478,17.0416666666667,26.3333333333333,12.5833333333333,14.8260869565217,14.6666666666667,29,42.2727272727273,55.3333333333333,42.125,13.7916666666667,35.25,47.2916666666667,59.625,56.8636363636364,15.0416666666667,11.8333333333333,12,15.8333333333333,25.1666666666667,33.4166666666667,42.5833333333333,14.5,26.3333333333333,25.5833333333333,52.75,43.5416666666667,32.9166666666667,14.9583333333333,25.2916666666667,25.5416666666667,26.5833333333333,39.875,46,50.9166666666667,50.8333333333333,31.1666666666667,27.7083333333333,30.4166666666667,40.1666666666667,56.7916666666667,40,20.7916666666667,3.29166666666667,4.70833333333333,6,57.1666666666667,9.08333333333333,28.625,47.875,37.5416666666667,34.375,4.5,23.375,41.2083333333333,54.875,34.9166666666667,37.5833333333333,31.25,60.0416666666667,78,60.4583333333333,17.0869565217391,17.7083333333333,15.5833333333333,25.75,58.4583333333333,45.7916666666667,50.6666666666667,39.9583333333333,11.6666666666667,21.4583333333333,14.9090909090909,9,12.7916666666667,25.625,22.4583333333333,19.5652173913043,18.25,12.0416666666667,22.5833333333333,33.25,29.0416666666667,25.125,36,37.2778,127.0306
"경안동",20.1739130434783,50.25,76.0833333333333,42.1666666666667,30.5416666666667,9.91666666666667,10.1363636363636,12.375,19.125,27.7083333333333,13.4583333333333,15.2916666666667,17.3333333333333,32.3636363636364,47.875,63.7916666666667,42.5416666666667,14.2916666666667,35.125,56.25,59.25,49.1666666666667,17.6086956521739,12.0833333333333,11.625,19.7916666666667,31.7916666666667,38,38.4583333333333,14.695652173913,28.875,26.375,44,46.6666666666667,36.8333333333333,14.6086956521739,21.2083333333333,23.9166666666667,30.6666666666667,39.6666666666667,47.5416666666667,49.625,53.5833333333333,41.2272727272727,26.8333333333333,34.4166666666667,41.25,52.9583333333333,41.2083333333333,18.125,2.29166666666667,2.41666666666667,8,54.5909090909091,10.7391304347826,24.5416666666667,48.0833333333333,36.9166666666667,36.4166666666667,5.75,17.0416666666667,37.875,60.375,39.2272727272727,37.7083333333333,41.875,55.1666666666667,65.5833333333333,54.9583333333333,20.0416666666667,18.7391304347826,17.9583333333333,31.5,72.7916666666667,51,62.75,40.125,13.75,23.1666666666667,14.1363636363636,8.70833333333333,8.20833333333333,24.3478260869565,19.2083333333333,20.7916666666667,23.375,12.4583333333333,23.7727272727273,35.125,30.7916666666667,30.5,29,37.4112,127.2579
